City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
127,puerto baquerizo moreno,-0.9,-89.6,29.55,66,20,5.66,EC,1713561364
128,iskateley,67.6803,53.1512,-20.55,87,81,4.92,RU,1713561364
129,gebeit,21.0667,36.3167,23.76,21,0,1.97,SD,1713561365
130,atafu village,-8.5421,-172.5159,27.49,86,79,8.83,TK,1713561365
131,talnakh,69.4865,88.3972,-9.89,96,100,0.52,RU,1713561365
132,lospalos,-8.5186,127.0025,21.97,98,100,1.55,TL,1713561366
133,shalya,57.2471,58.7298,14.23,75,21,3.53,RU,1713561366
134,nabire,-3.3667,135.4833,24.25,92,100,1.74,ID,1713561367
135,bredasdorp,-34.5322,20.0403,16.11,95,100,1.82,ZA,1713561367
136,palikir - national government center,6.9248,158.1611,25.47,94,100,2.06,FM,1713561368
137,ulladulla,-35.35,150.4667,15.01,77,98,7.46,AU,1713561368
138,uturoa,-16.7333,-151.4333,28.43,77,76,6.3,PF,1713561368
139,aswan,24.0934,32.907,26.32,19,0,4.22,EG,1713561368
140,khandud,36.9513,72.318,0.65,86,100,1.82,AF,1713561369
141,praia,14.9215,-23.5087,27.3,47,0,10.29,CV,1713561369
142,kavaratti,10.5669,72.642,29.87,73,62,4.56,IN,1713561369
143,shantobe,52.4581,68.1839,15.35,70,6,1.03,KZ,1713561369
144,carnarvon,-24.8667,113.6333,23.95,34,0,5.1,AU,1713561370
145,tevriz,57.509,72.4042,2.65,85,100,1.75,RU,1713561370
146,mikuni,36.2171,136.1519,11.81,60,68,1.29,JP,1713561370
147,remire-montjoly,4.9167,-52.2667,29.02,79,20,4.12,GF,1713561370
148,touros,-5.1989,-35.4608,27.6,81,100,4.57,BR,1713561371
149,los llanos de aridane,28.6585,-17.9182,18.86,86,20,4.63,ES,1713561371
150,chilliwack,49.1747,-121.9443,20.55,22,0,2.68,CA,1713561371
151,patrocinio,-18.9439,-46.9925,22.04,80,89,1.47,BR,1713561372
